id,naves_id,phrase,addenda,naves_for_transfer
1,1,Lineage of,"",AARON
2,1,Marriage of,"",AARON
3,1,Children of,"",AARON
4,1,Descendants of,"",AARON
5,1,"Meets, Moses in the wilderness and is made spokesman for Moses","",AARON
6,1,Inspiration of,"",AARON
7,1,Commissioned as a deliverer of Israel,"",AARON
8,1,"Summoned to Sinai with Nadab, Abihu, and seventy elders","",AARON
9,1,Priesthood of,"",AARON
10,1,"Consecration of, to the priesthood","",AARON
11,1,Enters upon the priestly office,"",AARON
12,1,"Descendants of, ordained priests forever","",AARON
13,1,Judges Israel in the absence of Moses,"",AARON
14,1,Makes the golden calf,"",AARON
15,1,"Rod of, buds","",AARON
16,1,Preserved,"",AARON
17,1,"Murmured against, by the people","",AARON
18,1,Places pot of manna in the ark,"",AARON
19,1,With Hur supports the hands of Moses during Battle,"",AARON
20,1,His benedictions upon the people,"",AARON
21,1,"Forbidden to mourn the death of his son, Nadab and Abihu","",AARON
22,1,Intercedes for Miriam,"",AARON
23,1,Stays the plague by priestly intercession,"",AARON
24,1,Jealous of Moses,"",AARON
25,1,"His presumption, when the rock is smitten","",AARON
26,1,Not permitted to enter Canaan,"",AARON
27,1,"Age of, at death","",AARON
28,1,Death and burial of,"",AARON
29,1,Character of,"",AARON
30,2,The angel of the bottomless pit,"",ABADDON
31,3,A Persian chamberlain,"",ABAGTHA
32,4,River of Damascus,"",ABANA
33,6,Father,"",ABBA
34,7,Father of Adoniram,"",ABDA
35,8,Father of Shelemiah,"",ABDEEL
36,9,Father of Kish,"",ABDI
37,10,A Gadite,"",ABDIEL
38,11,"1. A judge of Israel, in the time of the judges","",ABDON
39,11,2. A Levitical city,"",ABDON
40,11,3. A Benjamite chief,"",ABDON
41,11,4. Son of Gibeon,See ACHBOR,ABDON
42,11,5. Son of Micah,"",ABDON
43,11,5. Son of Micah,Also called ACHBOR,ABDON
44,12,Also called AZARIAH,A Jewish captive in Babylon,ABED-NEGO
45,13,1. Son of Adam. History of,"",ABEL
46,13,1. Son of Adam. History of,References to the death of,ABEL
47,13,2. A stone,"",ABEL
48,14,Sheba slain in,"",ABEL-BETH-MAACHAH
49,14,Taken by Benhadad,"",ABEL-BETH-MAACHAH
50,14,Taken by Tiglath,"",ABEL-BETH-MAACHAH
51,15,A city near the Jordan,"",ABEL-MEHOLAH
52,15,Elisha's birthplace,"",ABEL-MEHOLAH
53,16,Place where the Israelites mourned for Jacob,"",ABEL-MIZRAIM
54,19,A city of Issachar,"",ABEZ
55,20,Mother of Hezekiah,"",ABI
56,20,Called ABIJAH,"",ABI
57,21,"1. Also called ABIJAH, chief of the twenty-four courses of","",ABIA
58,21,2. Son of Samuel,"",ABIA
59,22,Wife of Hezron,"",ABIAH
60,23,One of David's heroes,"",ABI-ALBON
61,24,Son of Korah,"",ABIASAPH
62,25,1. High priest. Called AHIMELECH in,"",ABIATHAR
63,25,1. High priest. Called AHIMELECH in,And ABIMELECH,ABIATHAR
64,25,1. High priest. Called AHIMELECH in,Son of Ahimelech,ABIATHAR
65,25,1. High priest. Called AHIMELECH in,"Escapes to David from the vengeance of Saul, who slew the",ABIATHAR
