sid,test,subname,parent_title,sub_title,catid,description
2,,Military History,Ancient Rome [1],Military History [2],1,"Weapons, Warfare and Wars"
3,,Art & Images,Ancient Israel [2],Art & Images [3],2,""
4,,People,Ancient Israel [2],People [4],2,""
5,,People,Ancient Rome [1],People [5],1,""
6,,People,Ancient Greece [3],People [6],3,""
7,,Email List Archives,Archaeology [4],Email List Archives [7],4,""
8,,Excavations ,Archaeology [4],Excavations  [8],4,""
9,,Art & Images 1,Ancient Greece [3],Art & Images 1 [9],3,These are mainly links to images on other sites.
10,,Art & Images,Ancient Rome [1],Art & Images [10],1,""
12,,Art & Images,Ancient Near East [5],Art & Images [12],5,""
13,,Collections,Images & Art [6],Collections [13],6,""
15,,Military History,Ancient Israel [2],Military History [15],2,"Weapons, Warfare , and Wars"
16,,People,Ancient Near East [5],People [16],5,""
17,,Places,Ancient Near East [5],Places [17],5,"Cities, Places, and sights."
18,,Cities,Ancient Rome [1],Cities [18],1,""
19,,Cities,Ancient Israel [2],Cities [19],2,""
21,,Famous Battles,Ancient Rome [1],Famous Battles [21],1,""
22,,History,Ancient Rome [1],History [22],1,""
23,,History,Ancient Israel [2],History [23],2,""
24,,History,Ancient Greece [3],History [24],3,""
26,,O.T. Surveys,Bible History [13],O.T. Surveys [26],13,""
27,,N.T. Surveys,Bible History [13],N.T. Surveys [27],13,""
28,,Timelines and Charts,Bible History [13],Timelines and Charts [28],13,""
29,,O.T. Studies,Bible History [13],O.T. Studies [29],13,""
30,,N.T. Studies,Bible History [13],N.T. Studies [30],13,""
31,,Other Religions,Bible History [13],Other Religions [31],13,""
32,,Manners & Customs,Ancient Rome [1],Manners & Customs [32],1,""
33,,N.T. Customs,Bible History [13],N.T. Customs [33],13,""
34,,People in the Bible,Bible History [13],People in the Bible [34],13,""
35,,O.T. Customs,Bible History [13],O.T. Customs [35],13,""
36,,Bible Search,Bible History [13],Bible Search [36],13,""
37,,Maps & Geography,Bible History [13],Maps & Geography [37],13,""
38,,Images & Art,Bible History [13],Images & Art [38],13,""
40,,Ancient Texts ,Bible History [13],Ancient Texts  [40],13,""
41,,Bible,Ancient Documents [16],Bible [41],16,""
42,,Images,Archaeology [4],Images [42],4,""
43,,Dead Sea Scrolls,Archaeology [4],Dead Sea Scrolls [43],4,""
44,,Ancient History,Ancient Documents [16],Ancient History [44],16,""
45,,Texts & Documents,Archaeology [4],Texts & Documents [45],4,""
46,,History,Ancient Near East [5],History [46],5,Includes Events
47,,Ancient Texts,Ancient Near East [5],Ancient Texts [47],5,""
48,,Maps & Geography,Ancient Near East [5],Maps & Geography [48],5,""
49,,Maps & Geography,Ancient Rome [1],Maps & Geography [49],1,""
50,,Maps & Geography,Ancient Israel [2],Maps & Geography [50],2,""
51,,Maps & Geography,Ancient Greece [3],Maps & Geography [51],3,""
53,,General,Timelines & Charts [23],General [53],23,""
54,,Maps & Geography,Ancient Egypt [24],Maps & Geography [54],24,""
55,,General,Maps & Geography [22],General [55],22,""
56,,Maps of Sites,Archaeology [4],Maps of Sites [56],4,""
57,,Archaeology & Sites,Ancient Near East [5],Archaeology & Sites [57],5,""
58,,Archaeology & Sites,Ancient Rome [1],Archaeology & Sites [58],1,""
59,,Archaeology & Sites,Ancient Israel [2],Archaeology & Sites [59],2,""
60,,Archaeology & Sites,Ancient Greece [3],Archaeology & Sites [60],3,""
62,,Archaeology & Sites,Maps & Geography [22],Archaeology & Sites [62],22,""
63,,Archaeology & Sites,Ancient Egypt [24],Archaeology & Sites [63],24,""
64,,Archaeology & Sites,Bible History [13],Archaeology & Sites [64],13,""
65,,United States,Museums [25],United States [65],25,""
66,,Europe,Museums [25],Europe [66],25,""
67,,Near East,Museums [25],Near East [67],25,""
68,,Texts & Versions,Jesus [19],Texts & Versions [68],19,""
69,,Ancient Quotations,Ancient Documents [16],Ancient Quotations [69],16,""
70,,Timelines & Charts,Ancient Rome [1],Timelines & Charts [70],1,""
71,,Ancient Texts,Ancient Rome [1],Ancient Texts [71],1,""
72,,Studies,Jesus [19],Studies [72],19,""
73,,Studies ,Rabbinical Works [17],Studies  [73],17,""
74,,Timelines & Charts,Ancient Israel [2],Timelines & Charts [74],2,""
75,,Art & Images 2,Ancient Near East [5],Art & Images 2 [75],5,""
76,,Art & Images,Ancient Egypt [24],Art & Images [76],24,""
77,,Art & Images 2,Ancient Greece [3],Art & Images 2 [77],3,""
78,,Images & Art,Ancient Other [26],Images & Art [78],26,""
79,,Maps & Geography,Ancient Other [26],Maps & Geography [79],26,""
80,,History,Ancient Other [26],History [80],26,""
81,,Book Studies,Bible History [13],Book Studies [81],13,""
82,,Epigraphy,Archaeology [4],Epigraphy [82],4,""
83,,Projects,Ancient Documents [16],Projects [83],16,""
84,,General,Resource Sites [27],General [84],27,""
85,,Various Versions,Bible Searches [28],Various Versions [85],28,""
86,,Chapter and Verse,Bible Searches [28],Chapter and Verse [86],28,""
87,,History ,Church History [12],History  [87],12,""
88,,Answers & Evidence,Bible History [13],Answers & Evidence [88],13,""
89,,Historical Evidence,Jesus [19],Historical Evidence [89],19,""
90,,Answers & Evidence2,Bible History [13],Answers & Evidence2 [90],13,""
91,,General,Weapons & Warfare [29],General [91],29,""
92,,History,Intertestamental [14],History [92],14,""
