book_chapter,chapter_verse,verse
Genesis 1,Verse 1,1
Genesis 1,Verse 2,2
Genesis 1,Verse 3,3
Genesis 1,Verse 4,4
Genesis 1,Verse 5,5
Genesis 1,Verse 6,6
Genesis 1,Verse 7,7
Genesis 1,Verse 8,8
Genesis 1,Verse 9,9
Genesis 1,Verse 10,10
Genesis 1,Verse 11,11
Genesis 1,Verse 12,12
Genesis 1,Verse 13,13
Genesis 1,Verse 14,14
Genesis 1,Verse 15,15
Genesis 1,Verse 16,16
Genesis 1,Verse 17,17
Genesis 1,Verse 18,18
Genesis 1,Verse 19,19
Genesis 1,Verse 20,20
Genesis 1,Verse 21,21
Genesis 1,Verse 22,22
Genesis 1,Verse 23,23
Genesis 1,Verse 24,24
Genesis 1,Verse 25,25
Genesis 1,Verse 26,26
Genesis 1,Verse 27,27
Genesis 1,Verse 28,28
Genesis 1,Verse 29,29
Genesis 1,Verse 30,30
Genesis 1,Verse 31,31
Genesis 2,Verse 1,1
Genesis 2,Verse 2,2
Genesis 2,Verse 3,3
Genesis 2,Verse 4,4
Genesis 2,Verse 5,5
Genesis 2,Verse 6,6
Genesis 2,Verse 7,7
Genesis 2,Verse 8,8
Genesis 2,Verse 9,9
Genesis 2,Verse 10,10
Genesis 2,Verse 11,11
Genesis 2,Verse 12,12
Genesis 2,Verse 13,13
Genesis 2,Verse 14,14
Genesis 2,Verse 15,15
Genesis 2,Verse 16,16
Genesis 2,Verse 17,17
Genesis 2,Verse 18,18
Genesis 2,Verse 19,19
Genesis 2,Verse 20,20
Genesis 2,Verse 21,21
Genesis 2,Verse 22,22
Genesis 2,Verse 23,23
Genesis 2,Verse 24,24
Genesis 2,Verse 25,25
Genesis 3,Verse 1,1
Genesis 3,Verse 2,2
Genesis 3,Verse 3,3
Genesis 3,Verse 4,4
Genesis 3,Verse 5,5
Genesis 3,Verse 6,6
Genesis 3,Verse 7,7
Genesis 3,Verse 8,8
Genesis 3,Verse 9,9
Genesis 3,Verse 10,10
Genesis 3,Verse 11,11
Genesis 3,Verse 12,12
Genesis 3,Verse 13,13
Genesis 3,Verse 14,14
Genesis 3,Verse 15,15
Genesis 3,Verse 16,16
Genesis 3,Verse 17,17
Genesis 3,Verse 18,18
Genesis 3,Verse 19,19
Genesis 3,Verse 20,20
Genesis 3,Verse 21,21
Genesis 3,Verse 22,22
Genesis 3,Verse 23,23
Genesis 3,Verse 24,24
Genesis 4,Verse 1,1
Genesis 4,Verse 2,2
Genesis 4,Verse 3,3
Genesis 4,Verse 4,4
Genesis 4,Verse 5,5
Genesis 4,Verse 6,6
Genesis 4,Verse 7,7
Genesis 4,Verse 8,8
Genesis 4,Verse 9,9
Genesis 4,Verse 10,10
Genesis 4,Verse 11,11
Genesis 4,Verse 12,12
Genesis 4,Verse 13,13
Genesis 4,Verse 14,14
Genesis 4,Verse 15,15
Genesis 4,Verse 16,16
Genesis 4,Verse 17,17
Genesis 4,Verse 18,18
Genesis 4,Verse 19,19
Genesis 4,Verse 20,20
Genesis 4,Verse 21,21
Genesis 4,Verse 22,22
Genesis 4,Verse 23,23
Genesis 4,Verse 24,24
Genesis 4,Verse 25,25
Genesis 4,Verse 26,26
Genesis 5,Verse 1,1
Genesis 5,Verse 2,2
Genesis 5,Verse 3,3
Genesis 5,Verse 4,4
Genesis 5,Verse 5,5
Genesis 5,Verse 6,6
Genesis 5,Verse 7,7
Genesis 5,Verse 8,8
Genesis 5,Verse 9,9
Genesis 5,Verse 10,10
Genesis 5,Verse 11,11
Genesis 5,Verse 12,12
Genesis 5,Verse 13,13
Genesis 5,Verse 14,14
Genesis 5,Verse 15,15
Genesis 5,Verse 16,16
Genesis 5,Verse 17,17
Genesis 5,Verse 18,18
Genesis 5,Verse 19,19
Genesis 5,Verse 20,20
Genesis 5,Verse 21,21
Genesis 5,Verse 22,22
Genesis 5,Verse 23,23
Genesis 5,Verse 24,24
Genesis 5,Verse 25,25
Genesis 5,Verse 26,26
Genesis 5,Verse 27,27
Genesis 5,Verse 28,28
Genesis 5,Verse 29,29
Genesis 5,Verse 30,30
Genesis 5,Verse 31,31
Genesis 5,Verse 32,32
Genesis 6,Verse 1,1
Genesis 6,Verse 2,2
Genesis 6,Verse 3,3
Genesis 6,Verse 4,4
Genesis 6,Verse 5,5
Genesis 6,Verse 6,6
Genesis 6,Verse 7,7
Genesis 6,Verse 8,8
Genesis 6,Verse 9,9
Genesis 6,Verse 10,10
Genesis 6,Verse 11,11
Genesis 6,Verse 12,12
Genesis 6,Verse 13,13
Genesis 6,Verse 14,14
Genesis 6,Verse 15,15
Genesis 6,Verse 16,16
Genesis 6,Verse 17,17
Genesis 6,Verse 18,18
Genesis 6,Verse 19,19
Genesis 6,Verse 20,20
Genesis 6,Verse 21,21
Genesis 6,Verse 22,22
Genesis 7,Verse 1,1
Genesis 7,Verse 2,2
Genesis 7,Verse 3,3
Genesis 7,Verse 4,4
Genesis 7,Verse 5,5
Genesis 7,Verse 6,6
Genesis 7,Verse 7,7
Genesis 7,Verse 8,8
Genesis 7,Verse 9,9
Genesis 7,Verse 10,10
Genesis 7,Verse 11,11
Genesis 7,Verse 12,12
Genesis 7,Verse 13,13
Genesis 7,Verse 14,14
Genesis 7,Verse 15,15
Genesis 7,Verse 16,16
Genesis 7,Verse 17,17
Genesis 7,Verse 18,18
Genesis 7,Verse 19,19
Genesis 7,Verse 20,20
Genesis 7,Verse 21,21
Genesis 7,Verse 22,22
Genesis 7,Verse 23,23
Genesis 7,Verse 24,24
Genesis 8,Verse 1,1
Genesis 8,Verse 2,2
Genesis 8,Verse 3,3
Genesis 8,Verse 4,4
Genesis 8,Verse 5,5
Genesis 8,Verse 6,6
Genesis 8,Verse 7,7
Genesis 8,Verse 8,8
Genesis 8,Verse 9,9
Genesis 8,Verse 10,10
Genesis 8,Verse 11,11
Genesis 8,Verse 12,12
Genesis 8,Verse 13,13
Genesis 8,Verse 14,14
Genesis 8,Verse 15,15
Genesis 8,Verse 16,16
Genesis 8,Verse 17,17
Genesis 8,Verse 18,18
Genesis 8,Verse 19,19
Genesis 8,Verse 20,20
Genesis 8,Verse 21,21
Genesis 8,Verse 22,22
Genesis 9,Verse 1,1
Genesis 9,Verse 2,2
Genesis 9,Verse 3,3
Genesis 9,Verse 4,4
Genesis 9,Verse 5,5
Genesis 9,Verse 6,6
Genesis 9,Verse 7,7
Genesis 9,Verse 8,8
Genesis 9,Verse 9,9
