id,word,gloss,WordStatus
1,Aaron," a teacher; lofty; mountain of strength",1
2,Abaddon, the destroyer,1
3,Abagtha, father of the wine-press,1
4,Abana," made of stone; a building",1
5,Abarim," passages; passengers",1
6,Abba, father,1
7,Abda," a servant; servitude",1
8,Abdeel," a vapor; a cloud of God",1
9,Abdi, my servant,1
10,Abdiel, servant of God,1
11,Abdon," servant; cloud of judgment",1
12,Abednego," servant of light; shining",1
13,Abel," vanity; breath; vapor",1
14,Abel," a city; mourning",1
15,Abel-beth-maachah, mourning to the house of Maachah,1
16,Abel-maim, mourning of waters,1
17,Abel-meholah, mourning of sickness,1
18,Abel-mizraim, the mourning of Egyptians,1
19,Abel-shittim, mourning of thorns,1
21,Abi, my father,1
22,Abiah, the Lord is my father,1
23,Abi-albon, most intelligent father,1
24,Abiasaph," consuming father; gathering",1
25,Abiathar," excellent father; father of the remnant",1
26,Abib," green fruit; ears of corn",1
27,Abidah, father of knowledge,1
28,Abidan, father of judgment,1
29,Abiel, God my father,1
30,Abiezer, father of help,1
31,Abihail, the father of strength,1
32,Abihu, he is my father,1
33,Abihud," father of praise; confession",1
34,Abijah, the Lord is my father,1
35,Abijam, father of the sea,1
36,Abilene, the father of mourning,1
37,Abimael, a father sent from God,1
38,Abimelech, father of the king,1
39,Abinadab, father of a vow,1
40,Abinoam, father of beauty,1
41,Abiram," high father; father of deceit",1
42,Abishag, ignorance of the father,1
43,Abishai, the present of my father,1
44,Abishalom, father of peace,1
45,Abishua, father of salvation,1
46,Abishur," father of the wall; father of uprightness",1
47,Abital," the father of the dew; or of the shadow",1
48,Abitub, father of goodness,1
49,Abiud, father of praise,1
50,Abner, father of light,1
51,Abram, high father,1
52,Abraham, father of a great multitude,1
53,Absalom, father of peace,1
54,Accad," a vessel; pitcher; spark",1
55,Accho," close; pressed together",1
56,Aceldama, field of blood,1
57,Achab, brother of the father,1
58,Achaia," grief; trouble",1
59,Achaicus," a native of Achaia; sorrowing; sad",1
60,Achan, or Achar,1
61,Achaz, one that takes,1
62,Achbor," a rat; bruising",1
63,Achim," preparing; revenging; confirming",1
64,Achish," thus it is; how is this",1
65,Achmetha, brother of death,1
66,Achor, trouble,1
67,Achsah," adorned; bursting the veil",1
68,Achshaph," poison; tricks",1
69,Achzib," liar; lying; one that runs",1
70,Adadah, testimony of the assembly,1
71,Adah, an assembly,1
72,Adaiah, the witness of the Lord,1
73,Adaliah," one that draws water; poverty; cloud; death",1
74,Adam," earthy; red",1
75,Adamah," red earth; of blood",1
76,Adami," my man; red; earthy; human",1
77,Adar," high; eminent",1
78,Adbeel, vapor,1
79,Addi," my witness; adorned; prey",1
80,Addin," adorned; delicious; voluptuous",1
81,Addon," basis; foundation; the Lord",1
82,Adiel, the witness of the Lord,1
83,Adin, Adina,1
84,Adithaim," assemblies; testimonies",1
85,Adlai," my witness; my ornament",1
86,Admah," earthy; red; bloody",1
87,Admatha," a cloud of death; a mortal vapor",1
88,Adna," pleasure; delight",1
89,Adnah, eternal rest,1
90,Adoni-bezek," the lightning of the Lord; the Lord of lightning",1
91,Adonijah, the Lord is my master,1
92,Adonikam, the Lord is raised,1
93,Adoniram," my Lord is most high; Lord of might and elevation",1
94,Adoni-zedek," justice of the Lord; lord of justice",1
95,Adoraim, strength of the sea,1
96,Adoram," their beauty; their power",1
97,Adrammelech, the cloak,1
98,Adramyttium, the court of death,1
99,Adriel, the flock of God,1
100,Adullam," their testimony; their prey; their ornament",1
101,Adummim," earthy; red; bloody things",1
102,Aeneas," praised; praiseworthy",1
103,Aenon," a cloud; fountain; his eye",1
104,Agag," roof; upper floor",1
105,Agar, or Hagar,1
106,Agee," a valley; deepness",1
107,Agrippa, one who causes great pain at his birth,1
108,Agur," stranger; gathered together",1
109,Ahab, uncle,1
110,Aharah," a smiling brother; a meadow of a sweet savor",1
111,Ahasbai," trusting in me; a grown-up brother",1
112,Ahasuerus," prince; head; chief",1
113,Ahava," essence; being; generation",1
114,Ahaz, one that takes or possesses,1
115,Ahaziah," seizure; vision of the Lord",1
116,Ahi," my brother; my brethren",1
117,Ahiah, brother of the Lord,1
118,Ahian, brother of wine,1
119,Ahiezer, brother of assistance,1
120,Ahihud, brother of vanity,1
121,Ahijah, same with Ahiah,1
122,Ahikam, a brother who raises up or avenges,1
123,Ahilud, a brother born,1
124,Ahimaaz, a brother of the council,1
125,Ahiman, brother of the right hand,1
126,Ahimoth, brother of death,1
127,Ahinadab," a willing brother; brother of a vow",1
128,Ahinoam," beauty of the brother; brother of motion",1
129,Ahio," his brother; his brethren",1
130,Ahira," brother of iniquity; brother of the shepherd",1
131,Ahiram, brother of craft,1
132,Ahisamach, brother of strength,1
133,Ahishahur," brother of the morning or dew; brother of blackness",1
134,Ahishar," brother of a prince; brother of a song",1
135,Ahithophel, brother of ruin or folly,1
136,Ahitub, brother of goodness,1
137,Ahlab, made of milk,1
138,Ahlai," beseeching; sorrowing; expecting",1
139,Ahoah," a live brother; my thorn or thistle",1
140,Aholah," his tabernacle; his tent",1
141,Aholiab, the tent of the father,1
142,Aholibah, my tent,1
143,Aholibamah, my tabernacle is exalted,1
144,Ahumai," a meadow of waters; a brother of waters",1
145,Ahuzam, their taking or possessing vision,1
146,Ahuzzah," possession; seizing; collecting",1
147,Ai, or Hai,1
148,Aiah, vulture,1
149,Aiath," same as Ai; an hour; eye; fountain",1
150,Aijeleth-Shahar, the land of the morning,1
151,Ain, same as Aiath,1
152,Ajalon," a chain; strength; a stag",1
153,Akkub," foot-print; supplanting; crookedness; lewdness",1
154,Akrabbim, scorpions,1
155,Alammelech, God is king,1
156,Alemeth," hiding; youth; worlds; upon the dead",1
157,Alexander, one who assists men,1
158,Alian, high,1
159,Alleluia, praise the Lord,1
160,Allon," an oak; strong",1
161,Allon-bachuth, the oak of weeping,1
162,Almodad, measure of God,1
163,Almon, hidden,1
164,Almon-diblathaim, hidden in a cluster of fig trees,1
165,Alpheus," a thousand; learned; chief",1
166,Alush, mingling together,1
167,Alvah," his rising up; his highness",1
168,Amad," people of witness; a prey",1
169,Amal," labor; iniquity",1
170,Amalek, a people that licks up,1
171,Aman," mother; fear of them",1
172,Amana," integrity; truth; a nurse",1
173,Amariah," the Lord says; the integrity of the Lord",1
174,Amasa, sparing the people,1
175,Amasai, strong,1
176,Amashi-ali, same as Amaziah,1
177,Ami," mother; fear; people",1
178,Amaziah, the strength of the Lord,1
179,Aminadab, same as Amminadab,1
180,Amittai," true; fearing",1
181,Ammah, my,1
182,Ammi, same as Ammah,1
183,Ammiel, the people of God,1
184,Ammihud, people of praise,1
185,Ammi-nadab, my people is liberal,1
186,Ammishaddai," the people of the Almighty; the Almighty is with me",1
187,Ammizabad, dowry of the people,1
188,Ammon," a people; the son of my people",1
189,Amnon," faithful and true; tutor",1
190,Amok," a valley; a depth",1
191,Amon," faithful; true",1
192,Amorite," bitter; a rebel; a babbler",1
193,Amos," loading; weighty",1
194,Amoz," strong; robust",1
195,Amplias," large; extensive",1
196,Amram," an exalted people; their sheaves; handfuls of corn",1
197,Amraphel, one that speaks of secrets,1
198,Amzi, strong,1
199,Anab," a grape; a knot",1
200,Anah," one who answers; afflicted",1
201,Anaharath, dryness,1
202,Anak," a collar; ornament",1
203,Anamim," a fountain; answer; affliction",1
204,Anammelech," answer; poverty of the king",1
205,Anani," a cloud; prophecy; divination",1
206,Ananias, or Ananiah,1
207,Anathema," separated; set apart",1
208,Anathoth, or Anath,1
209,Andrew, a strong man,1
210,Andronicus, a man excelling others,1
211,Anem, or Anen,1
212,Aner," answer; song; affliction",1
213,Aniam," a people; the strength or sorrow of people",1
214,Anim," answerings; singings; afflicted",1
215,Anna," gracious; one who gives",1
216,Annas," one who answers; humble",1
217,Antichrist, an adversary to Christ,1
218,Antioch, speedy as a chariot,1
219,Antipas, for all,1
220,Antipatris, for,1
221,Antothijah," answers or songs of the Lord; afflictions",1
222,Anub, same as Anab,1
223,Apelles," exclusion; separation",1
224,Apharsathchites, Apharsites (from a root meaning) dividing or rending,1
225,Aphek, Aphekah,1
226,Aphiah, speaking,1
227,Apocalypse, uncovering,1
228,Apocrypha, hidden,1
229,Apollonia, perdition,1
230,Apollonius, destroying,1
231,Apollos," one who destroys; destroyer",1
232,Apollyon, a destroyer,1
233,Appaim," face; nostrils",1
234,Apphia," productive; fruitful",1
235,Aquila, an eagle,1
236,Ar," awakening; uncovering",1
237,Ara," cursing; seeing",1
238,Arab," multiplying; sowing sedition; a window; a locust",1
239,Arabia," evening; desert; ravens",1
240,Arad," a wild ass; a dragon",1
241,Arah," the way; a traveler",1
242,Aram, highness,1
243,Aran," an ark; their curse",1
244,Ararat, the curse of trembling,1
245,Araunah," ark; song; joyful cry",1
246,Arba, four,1
247,Archelaus, the prince of the people,1
248,Archippus, a master of horses,1
249,Arcturus, a gathering together,1
250,Ard," one that commands; he that descends",1
251,Ardon," ruling; a judgment of malediction",1
252,Areli, the light or vision of God,1
253,Areopagus, the hill of Mars,1
254,Aretas, agreeable,1
255,Argob, a turf,1
256,Ariel," altar; light or lion of God",1
257,Arimathea, a lion dead to the Lord,1
258,Arioch," long; great; tall",1
259,Aristarchus, the best prince,1
260,Aristobulus, a good counselor,1
261,Armageddon," hill of fruits; mountain of Megiddo",1
262,Arnon," rejoicing; sunlight",1
263,Aroer," heath; tamarisk",1
264,Arpad, the light of redemption,1
265,Arphaxad," a healer; a releaser",1
266,Artaxerxes," the silence of light; fervent to spoil",1
267,Artemas, whole,1
268,Arumah," high; exalted",1
269,Asa," physician; cure",1
270,Asahel, creature of God,1
271,Asaiah, the Lord hath wrought,1
272,Asaph, who gathers together,1
273,Asareel, the beatitude of God,1
274,Asenath," peril; misfortune",1
275,Ashan, smoke,1
276,Ashbel, an old fire,1
277,Ashdod," effusion; inclination; theft",1
278,Asher, happiness,1
279,Ashima," crime; offense",1
280,Ashkenaz, a fire that spreads,1
281,Ashnah, change,1
282,Ashriel, same as Asareel,1
283,Ashtaroth, Ashtoreth,1
284,Ashur," who is happy; or walks; or looks",1
285,Asia," muddy; boggy",1
286,Asiel, the work of God,1
287,Askelon," weight; balance; fire of infamy",1
288,Asnapper," unhappiness; increase of danger",1
289,Asriel, help of God,1
290,Assir," prisoner; fettered",1
291,Asshurim," liers in want; beholders",1
292,Assos," approaching; coming near",1
293,Assur, same as Ashur,1
294,Assyria, country of Assur or Ashur,1
295,Asuppim, gatherings,1
296,Asyncritus, incomparable,1
297,Atad, a thorn,1
298,Atarah, a crown,1
299,Ataroth, crowns,1
300,Ataroth-addar, crowns of power,1
301,Ater," left hand; shut",1
302,Athach, thy time,1
303,Athaliah, the time of the Lord,1
304,Athlai, my hour or time,1
305,Attai, same as Athlai,1
306,Attalia, that increases or sends,1
307,Attalus, increased,1
308,Augustus, increased,1
309,Ava, or Ivah,1
310,Aven," iniquity; force; riches; sorrow",1
311,Avim, wicked or perverse men,1
312,Avith, wicked,1
313,Azaliah, near the Lord,1
314,Azareel, help of God,1
315,Azariah, he that hears the Lord,1
316,Azaz, strong one,1
317,Azazel, the scape-goat,1
318,Azaziah, strength of the Lord,1
319,Azekah, strength of walls,1
320,Azgad," a strong army; a gang of robbers",1
321,Azmaveth," strong death; a he-goat",1
322,Azmon," bone of a bone; our strength",1
323,Aznoth-tabor," the ears of Tabor; the ears of purity or contrition",1
324,Azor," a helper; a court",1
325,Azotus, the same as Ashdod,1
326,Azriel, same as Asriel,1
327,Azrikam, help,1
328,Azubah, forsaken,1
329,Azur, he that assists or is assisted,1
330,Azzan, their strength,1
331,Azzur, same as Azur,1
